Index,Start X,Start Y,End X,End Y,Image Width,Image Height,Class
0,490.0,503.0,654.0,419.0,1024,1024,None
1,654.0,419.0,661.0,492.0,1024,1024,None
2,661.0,492.0,662.0,583.0,1024,1024,None
3,662.0,583.0,502.0,499.0,1024,1024,None
4,327.0,476.0,396.0,352.0,1024,1024,None
5,396.0,352.0,512.0,267.0,1024,1024,None
6,433.0,135.0,307.0,193.0,1024,1024,None
7,307.0,193.0,221.0,285.0,1024,1024,None
8,335.0,585.0,399.0,672.0,1024,1024,None
9,399.0,672.0,482.0,674.0,1024,1024,None
10,482.0,674.0,591.0,684.0,1024,1024,None
11,311.0,806.0,214.0,702.0,1024,1024,None
12,214.0,702.0,149.0,574.0,1024,1024,None
13,585.0,347.0,785.0,272.0,1024,1024,Class 1
14,683.0,195.0,785.0,272.0,1024,1024,Class 1
15,683.0,195.0,560.0,136.0,1024,1024,Class 1
16,146.0,415.0,232.0,483.0,1024,1024,Class 1
17,232.0,483.0,149.0,574.0,1024,1024,Class 1
18,564.0,877.0,675.0,807.0,1024,1024,None
19,675.0,807.0,780.0,730.0,1024,1024,Class 3
20,780.0,730.0,763.0,481.0,1024,1024,test
21,763.0,481.0,763.0,481.0,1024,1024,test
22,763.0,481.0,863.0,408.0,1024,1024,test
